,Address,Zillow_Rental_Price,AirDNA_Revenue
0,"8889 caminito plaza centro unit 7128, san diego, ca 92122",820000,4358.0
1,"4070 iowa st apt 8, san diego, ca 92104",2495,
2,"4403 la crosse ave, san diego, ca 92117",4895,7683.0
3,"4669 iowa st #9, san diego, ca 92116",2195,
4,"3837 1/2 kendall st, san diego, ca 92109",3250,5100.0
5,"3810 31st st #111, san diego, ca 92104",2300,13608.0
6,"3810 31st st #110, san diego, ca 92104",2100,13608.0
7,"4784 bermuda ave #a, san diego, ca 92107",2525,
8,"3810 31st st #106, san diego, ca 92104",1800,13608.0
9,"3810 31st st #109, san diego, ca 92104",2100,13608.0
10,"9659 caminito del feliz #11, san diego, ca 92121",3795,6975.0
